employee_id,name,gender,age,salary,department,overtime_hours,performance_rating,hire_date
63299,Jennifer Jarvis,Female,49.0,"$70,053.64",Sales,18.0,5.0,2024-06-01
44152,Valerie Jackson,Female,58.0,,IT,33.0,,2021-08-19
37930,Natalie Small,Female,56.0,"$54,134.84",HR,20.0,1.0,2024-12-19
79500,Richard Frost,Non-binary,59.0,"$103,845.99",Sales,42.0,5.0,2024-08-20
84975,Kimberly Hobbs,Female,29.0,"$57,562.60",Finance,,1.0,2020-11-11
83325,William Black,Non-binary,24.0,"$32,759.32",Marketing,26.0,4.0,2020-06-16
85908,Jacob Gates,Female,26.0,"$70,432.09",Finance,50.0,3.0,2025-01-27
46214,Michelle Gross,Non-binary,45.0,,Finance,2.0,4.0,2020-07-09
97796,Allen Brown,Non-binary,55.0,"$35,213.06",Sales,22.0,2.0,2022-03-23
126,Melissa Wilson,Non-binary,42.0,,HR,4.0,5.0,2024-08-28
64860,Denise Aguilar,Non-binary,28.0,"$84,514.10",HR,31.0,2.0,2021-04-04
85090,James Marshall,Female,55.0,"$78,334.97",IT,51.0,5.0,2021-02-25
66284,Caleb Guerrero,Male,27.0,"$108,780.69",Sales,14.0,5.0,2023-01-15
97956,Jennifer Stout,Non-binary,53.0,"$34,801.55",HR,25.0,3.0,2020-06-09
51461,Alexandra Fernandez,Male,47.0,"$119,746.21",Sales,20.0,3.0,2023-06-15
62846,Nicole Johnson,Non-binary,31.0,"$53,432.98",IT,57.0,3.0,2022-02-03
25761,Emily Simpson,Male,60.0,"$37,962.60",Finance,53.0,4.0,2022-03-13
24229,Jeffrey Perez,Male,45.0,"$48,744.79",Sales,28.0,2.0,2023-06-18
60045,Ryan Walker,Male,52.0,"$83,118.45",HR,35.0,3.0,2023-12-06
74471,Bryan Campbell,Non-binary,35.0,"$68,114.48",Finance,28.0,5.0,2022-12-11
62152,Zachary Kim,Male,25.0,"$36,777.64",IT,57.0,1.0,2024-02-18
71897,Ashley Mcneil,Female,45.0,"$33,596.82",HR,8.0,4.0,2025-02-12
27962,Steven Gonzalez,Female,49.0,"$49,103.83",Sales,39.0,5.0,2021-08-08
31306,Megan Jackson,Non-binary,45.0,"$104,981.83",Marketing,15.0,,2020-04-04
55530,Michele Ward,Male,50.0,"$78,097.29",Marketing,53.0,2.0,2020-10-25
45335,Roberta Alvarez,Male,,"$66,097.16",Finance,,,2021-03-13
64846,Kathryn Horton,Female,27.0,"$66,849.97",Finance,41.0,5.0,2022-01-10
4778,Tracy Johnson,Male,52.0,"$84,404.52",IT,35.0,2.0,2024-04-14
19710,Renee Clark,Male,34.0,"$64,773.30",HR,5.0,4.0,2022-05-17
18957,Emily Giles,Female,,,IT,56.0,2.0,2021-11-30
85116,Hunter Knapp,Non-binary,59.0,"$110,448.36",Sales,53.0,4.0,2020-01-25
45570,Steven Williams,Male,,,IT,49.0,4.0,2020-08-03
18707,Dana Watkins,Male,59.0,"$81,459.94",IT,7.0,2.0,2023-09-01
42068,April Carroll,Female,25.0,,IT,41.0,2.0,2021-11-07
70808,Mary Love,Male,29.0,"$90,790.15",IT,19.0,2.0,2024-03-12
7398,Matthew Wu,Male,,"$54,377.31",IT,50.0,5.0,2022-12-08
68941,Mary Johnson,Female,31.0,"$66,289.26",HR,56.0,1.0,2021-05-30
69893,Patricia Nichols,Male,59.0,"$63,204.54",Finance,2.0,,2021-06-13
16957,David Hoover,Non-binary,44.0,"$32,290.27",IT,56.0,1.0,2021-04-22
57490,David White,Male,43.0,"$35,761.59",Marketing,58.0,5.0,2021-01-16
