Roll No.,Name,City,Age,Marks,Grades
1,Aarav Deshmukh,Pune,15,25,E
2,Aishwarya Patil,Sangli,16,45,C
3,Rahul Joshi,Satara,14,33,D
4,Shruti Kulkarni,Nashik,15,66,A
5,Tanmay Shinde,Nashik,16,56,B
6,Priya Pawar,Nashik,15,,
7,Siddharth Gaikwad,Nashik,15,35,D
8,Ananya Narkar,Nashik,16,12,F
9,Rohan Jadhav,Pune,,33,D
10,Pooja Thakur,Sangli,15,,
11,Aditya Chavan,Pune,16,66,A
12,Kavita Taware,Sangli,15,60,A
13,Karan Gawade,Nashik,,67,A
14,Snehal Rajurkar,,16,45,C
15,Vikram Borse,Pune,16,63,A
16,Mansi Mahajan,Nashik,,44,C
17,Devendra Sawant,Sangli,16,34,D
18,Sanya Koli,,15,45,C
19,Abhishek Gite,Nashik,15,23,E
20,Smita Sawant,Nashik,,13,F
21,Nikhil Phadke,,15,54,B
22,Medha Khandekar,Sangli,15,28,E
23,Shubham Waghmare,,,39,D
24,Neha Joshi,Pune,14,11,F
25,Vinayak Mane,Pune,16,7,F
26,Shital Deshpande,Nashik,,25,E
27,Ameya Bhosale,Sangli,15,67,A
28,Kiran Karande,Sangli,,22,E
29,Sushant Shirodkar,Pune,15,45,C
30,Radhika Yadav,Pune,15,23,E
